store_id,store_name,manager_name,city,state,mall,phone,daily_plan
3922,Cherry Creek,Brandy A.,Cherry Creek,CO,Cherry Creek Shopping Center,(720) 445-6025,4600
123,Santa Fe,Trinity B.,Santa Fe,NM,Santa Fe Place,(505) 438-2066,3200
242,Aurora,Hannah F.,Aurora,CO,Town Center At Aurora,(303) 341-2116,3800
907,Cottonwood,Estrella M.,Albuquerque,NM,Cottonwood Mall,(505) 792-0932,3400
1026,Citadel,Claudia G.,Colorado Springs,CO,Citadel Mall,(719) 574-6865,3600
1241,Chapel Hills,Steven V.,Colorado Springs,CO,Chapel Hills Mall,(719) 264-9159,3500
1332,Coronado North,Marlena R.,Albuquerque,NM,Coronado Center,(505) 880-1301,3300
2595,Flatiron,Evyn J.,Broomfield,CO,Flatiron Crossing,(303) 404-0528,4200
3709,Mesa Mall,Dionne F.,Grand Junction,CO,Mesa Mall,(970) 609-4036,2800
3739,Coronado South,Emily M.,Albuquerque,NM,Coronado Center,(505) 418-5862,3300
3905,Park Meadows,Gina G.,Littleton,CO,Park Meadows,(234) 206-3202,4400
